ano_mes_dia,hor_min_seg,Lat.,Lng.,e,f,g,h
20230218,00:26:00.5213340,-22.8209,-45.1612,0.0,1,-22.4,1.343
20230218,00:26:00.6508689,-22.8221,-45.1438,0.0,1,-24.5,1.118
20230218,00:26:05.1064686,-20.742,-46.2422,0.0,1,19.7,0.808
20230218,00:26:44.4581829,-20.9037,-49.8668,0.0,1,-39.2,0.782
20230218,00:27:04.2276783,-20.7556,-46.1197,0.0,1,-18.5,0.7
20230218,00:27:15.6349830,-22.9183,-45.1985,0.0,1,10.5,0.6
20230218,00:27:32.1410819,-20.8807,-46.1639,0.0,1,-21.8,0.75
20230218,00:27:32.1417078,-20.8787,-46.1551,14.3,2,11.6,0.386
20230218,00:27:32.1423514,-20.8752,-46.1562,0.0,1,-17.9,0.479
20230218,00:27:51.5823792,-20.5306,-45.3975,0.0,1,-53.8,1.009
20230218,00:27:51.6237112,-20.5244,-45.3882,0.0,1,14.0,0.37
20230218,00:27:51.8658707,-20.5258,-45.3485,0.0,1,-34.0,0.749
20230218,00:28:51.6578860,-21.5531,-46.2775,0.0,1,18.4,0.298
20230218,00:28:51.6679081,-21.5538,-46.2901,0.0,1,-20.1,0.345
20230218,00:28:51.7283845,-21.6041,-46.2936,0.0,1,-9.1,0.32
20230218,00:29:15.1735070,-20.736,-46.0749,0.0,1,10.9,0.348
20230218,00:29:32.1479249,-20.8793,-46.1281,0.0,1,6.3,0.818
20230218,00:29:47.9956611,-22.8495,-45.1497,0.0,1,-16.9,1.683
20230218,00:29:48.9237239,-21.6325,-46.2772,0.0,1,16.1,0.17
20230218,00:30:02.7293751,-20.8089,-46.0504,0.0,1,-19.6,0.698
20230218,00:30:02.8180475,-20.791,-46.0616,0.0,1,-19.2,0.314
20230218,00:30:02.9020321,-20.7835,-46.0638,0.0,1,-20.3,0.721
20230218,00:30:07.5410356,-20.5359,-45.3716,0.0,1,-76.6,0.896
20230218,00:30:07.5864428,-20.5346,-45.3694,0.0,1,-15.8,1.229
20230218,00:30:07.6219730,-20.5332,-45.3665,0.0,1,-17.3,1.241
20230218,00:30:37.5118533,-21.1716,-46.5135,6.0,2,-14.7,0.243
20230218,00:31:16.7163417,-21.6058,-46.2818,0.0,1,8.5,0.186
20230218,00:31:28.9127520,-20.8212,-46.1466,0.0,1,-22.3,0.632
20230218,00:31:28.9140870,-20.8202,-46.147,0.0,1,-29.4,0.657
20230218,00:31:42.1975407,-21.1239,-46.5205,0.0,1,-38.8,0.324
20230218,00:31:42.2568854,-21.1261,-46.5261,0.0,1,-25.9,0.32
